Namespace,Phase,Requirement ID,Requirement,User-facing promise,Backend promise,Route,Component,Role,Mode,Viewport,Source evidence,Live evidence,Verdict,Blocker,Recovery action,Confidence
GL-MASTER-23,1,P01-R01,Application boot and rout…,Baseline,Baseline,/,src/App.jsx; src/page…,Public,All,All,Evidence,Baseline,PROVEN_LIVE,,RG-02,High
GL-MASTER-23,1,P01-R02,Canonical source-to-publi…,Baseline,Baseline,All,build/release pipeline,Owner/Admin,All,All,Evidence,Baseline,REACHABLE_PARTIAL_OR_BROKEN,No durable commit…,RG-02,High
GL-MASTER-23,2,P02-R01,Public brand and homepage,Baseline,Baseline,/,src/pages/Home.jsx; s…,Public,All,All,Evidence,Baseline,PROVEN_LIVE,,RG-02,High
GL-MASTER-23,2,P02-R02,Responsive homepage accep…,Baseline,Baseline,/,Home/Layout/global CSS,Public,All,390x844;8…,Evidence,Baseline,BLOCKED_HUMAN_OR_HARDWARE_PROOF,Viewport acceptan…,RG-02,Medium
GL-MASTER-23,3,P03-R01,Secure QR creation surface,Baseline,Baseline,/SecureQRStudio,src/pages/SecureQRStu…,Public/Auth,All,All,Evidence,Baseline,BLOCKED_HUMAN_OR_HARDWARE_PROOF,Interactive brows…,RG-02,Medium
GL-MASTER-23,3,P03-R02,QR persistence and verifi…,Baseline,Baseline,/v/:ref; /OfflineVe…,VerifyDispatch; Offli…,Public/Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,No live round-tri…,RG-02,High
GL-MASTER-23,4,P04-R01,QR multi-mode information…,Baseline,Baseline,/SecureQRStudio,SecureQRStudio plus q…,Public/Auth,All,All,Evidence,Baseline,CONFLICTING_OR_AMBIGUOUS,Cannot prove whet…,RG-02,High
GL-MASTER-23,4,P04-R02,Bulk/custom/security/hotz…,Baseline,Baseline,/SecureQRStudio,src/components/qr/**;…,Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,Built source is n…,RG-02,Medium
GL-MASTER-23,5,P05-R01,QR intelligence scoring a…,Baseline,Baseline,/SecureQRStudio,evaluateQrRisk; enric…,Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,Provider and live…,RG-02,High
GL-MASTER-23,5,P05-R02,AI-provider runtime matur…,Baseline,Baseline,N/A,provider functions/in…,System,All,N/A,Evidence,Baseline,BLOCKED_HUMAN_OR_HARDWARE_PROOF,Provider account…,RG-02,High
GL-MASTER-23,6,P06-R01,QR Omega remediation,Baseline,Baseline,/SecureQRStudio,QR Studio/OMEGA source,Public/Auth,All,All,Evidence,Baseline,DOCUMENTED_ONLY,Execution reports…,RG-02,Medium
GL-MASTER-23,6,P06-R02,QR visual acceptance,Baseline,Baseline,/SecureQRStudio,QR UI,Public/Auth,All,Four view…,Evidence,Baseline,BLOCKED_HUMAN_OR_HARDWARE_PROOF,Visual proof unav…,RG-02,Medium
GL-MASTER-23,7,P07-R01,GlyphBot reasoning/tool b…,Baseline,Baseline,/GlyphBot,GlyphBot.jsx; glyphbo…,Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,Provider/runtime…,RG-02,High
GL-MASTER-23,7,P07-R02,Governed memory and writes,Baseline,Baseline,/GlyphBot,GlyphBotMemory; Glyph…,Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,Source checks are…,RG-02,High
GL-MASTER-23,8,P08-R01,GlyphBot user interface,Baseline,Baseline,/GlyphBot,src/pages/GlyphBot.js…,Auth,All,All,Evidence,Baseline,BLOCKED_HUMAN_OR_HARDWARE_PROOF,Authenticated/pro…,RG-02,Medium
GL-MASTER-23,8,P08-R02,Conversation persistence…,Baseline,Baseline,/GlyphBot,conversationSave/List…,Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,No authenticated…,RG-02,High
GL-MASTER-23,9,P09-R01,TTS and voice functions,Baseline,Baseline,/GlyphBot,textToSpeech*; VoiceP…,Auth,All,Audio-cap…,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,No provider/brows…,RG-02,High
GL-MASTER-23,9,P09-R02,Audible browser playback…,Baseline,Baseline,/GlyphBot,ttsEngine/audio compo…,Auth,All,Mobile/ta…,Evidence,Baseline,BLOCKED_HUMAN_OR_HARDWARE_PROOF,Hardware/browser…,RG-02,Medium
GL-MASTER-23,10,P10-R01,Cross-app knowledge/searc…,Baseline,Baseline,/GlyphBot,glyphlockKnowledge; g…,Auth,All,All,Evidence,Baseline,SOURCE_ONLY_NOT_LIVE,Provider/connecto…,RG-02,High
GL-MASTER-23,10,P10-R02,Integration maturity is a…,Baseline,Baseline,/ProviderConsole; /…,Integration maturity…,Admin,All,Desktop/t…,Evidence,Baseline,REACHABLE_PARTIAL_OR_BROKEN,Connector presenc…,RG-02,High
